order_id,date,vendor,item_num,item_name,item_asin,item_qty,item_unit_price,item_vat_rate,item_vat_amount,item_total,item_category,order_subtotal,order_tax,order_total,has_pdf,pdf_file
171-3029640-2160368,2026-01-23,Cosmety LLC,2,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0DRCQXGND,0,13.18,0,0,11.86,Mascotas,374.42,7.35,306.34,no,
171-3029640-2160368,2026-01-23,Cosmety LLC,3,"Calore Alfombras Salon, Antideslizante Alfombra de área,Alfombra de Salón Modernas Pelo Corto para S",B0BV28DLMS,0,251.98,0,0,201.58,Alimentación,374.42,7.35,306.34,no,
171-3029640-2160368,2026-01-23,Cosmety LLC,4,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0FGDSFT8P,0,14.01,0,0,12.61,Mascotas,374.42,7.35,306.34,no,
408-3878417-4521962,2026-01-22,boaixianqierbaihuodiangerenduzi,1,WKZSXXMJ Faja Facial Postquirúrgica para Compresión del Cuello con Correa para la Barbilla. Reducció,B0FDTLD5G9,1,11.13,0,0,11.13,Mascotas,11.13,0,11.13,no,
408-7060464-3591547,2026-01-22,Shenzhenshi Weixiongzhinengjiaju youxiangongsi,1,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0DRCQXGND,0,26.36,0,0,23.73,Mascotas,387.6,7.35,318.2,no,
408-7060464-3591547,2026-01-22,Shenzhenshi Weixiongzhinengjiaju youxiangongsi,2,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0FGDSFT8P,0,14.01,0,0,12.6,Mascotas,387.6,7.35,318.2,no,
408-7060464-3591547,2026-01-22,Shenzhenshi Weixiongzhinengjiaju youxiangongsi,3,GALLINA BLANCA Caldo Casero de Pollo 100% Natural | Elaborado con Pollo Fresco y Verduras de la Huer,B01IU8MJ7K,0,95.25,0,7.35,80.29,Alimentación,387.6,7.35,318.2,no,
408-7060464-3591547,2026-01-22,Shenzhenshi Weixiongzhinengjiaju youxiangongsi,4,"Calore Alfombras Salon, Antideslizante Alfombra de área,Alfombra de Salón Modernas Pelo Corto para S",B0BV28DLMS,0,251.98,0,0,201.58,Alimentación,387.6,7.35,318.2,no,
408-0789137-1531554,2026-01-19,heilongjiangjieyongshangmaoyouxiangongsi,1,"Champú de Romero Hidrolizado de Queratina, Champú de Aceite de Hoja de Romero, Acondicionador Limpia",B0DKSV8XQL,1,66.99,0,0,67.98,Alimentación,66.99,0,67.98,no,
408-3869467-4037163,2026-01-19,Amazon EU,1,Dr. Beckmann El Mago Quitamanchas Grasa y Salsas | El quitamanchas especializado combate las manchas,B00U2R3Y7M,5,2.06,21,2.15,12.45,Alimentación,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-3869467-4037163,2026-01-19,Amazon EU,2,"Café Saula, Pack 3 botes de 250 gr. Premium Original 100% arabica molido",B07NJ7B9WF,3,20.78,10,6.24,68.58,Alimentación,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-3869467-4037163,2026-01-19,Amazon EU,3,"KH-7 Sin Manchas | Quitamanchas Ropa | Elimina Todo Tipo de Manchas | Vino, Chocolate, Tomate, Grasa",B0CTHLF7BD,10,3.68,21,7.3,42.28,Ropa/Calzado,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-3869467-4037163,2026-01-19,Amazon EU,4,"Dr. Beckmann Líquido Set de 3 Diablo Quitamanchas de sangre y proteínas, sin perfume, 50 ml, 3 unida",B084K3W27H,5,6.67,0,0,33.35,Hogar,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-3869467-4037163,2026-01-19,Amazon EU,5,Lebel Cosmetics IAU Essence Forti - 100ml by IAU,B007ODMVW6,1,31.92,0,0,31.92,Belleza,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-3869467-4037163,2026-01-19,Amazon EU,6,"Sanytol - Desinfectante Textil, Elimina Gérmenes y Malos Olores de la Ropa Sin Lejía, 1.2L , 4 Unida",B0828BDWPP,1,15.83,21,3.33,19.16,Ropa/Calzado,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-3869467-4037163,2026-01-19,Amazon EU,7,KH-7 Sin Manchas Sin Olores OXY Effect | Quitamanchas Ropa | Oxígeno Activo | Elimina manchas de Sud,B0DX1NZSF5,10,3.64,21,7.2,41.79,Ropa/Calzado,226.94,26.22,249.53,yes,pdfs/20260120_Tax Invoice_408-3869467-4037163.pdf
408-4939894-7623528,2026-01-19,MARIA JOSE PALOMAR SILVESTRE,1,CAUDALIE Resveratrol-Lift Instant Firming Serum 30 ml,B0CHJSM3RS,2,39.35,21,16.52,95.22,Bebidas,112.5,23.62,136.12,yes,pdfs/20260119_Tax Invoice_408-4939894-7623528.pdf
408-4939894-7623528,2026-01-19,MARIA JOSE PALOMAR SILVESTRE,2,Crema para el Contorno de Ojos Caudalie Resveratrol Lift 15 ml,B0CHJXBZWB,1,33.8,21,7.1,40.9,Belleza,112.5,23.62,136.12,yes,pdfs/20260119_Tax Invoice_408-4939894-7623528.pdf
408-7392553-7169150,2026-01-19,"LTE, LDA",1,"HAPPY MEOW Arena de Tofu para Gatos (18L/7,5Kg) - Natural y Biodegradable - Aglomerante Instantáneo,",B0D1361WCD,3,31.38,0,0,84.73,Alimentación,94.14,0,84.73,yes,pdfs/20260119_Tax Invoice_408-7392553-7169150.pdf
408-0225596-4333934,2026-01-18,Didactic Sell S.L.U.,1,"STARWAX - Desatascador Especial Cabellos - Disuelve cabellos, pelos y uñas - Curativo y preventivo -",B09TX3S27Q,1,13.07,21,2.75,15.82,Limpieza,13.07,2.75,15.82,yes,pdfs/20260119_Tax Invoice_408-0225596-4333934.pdf
408-3188830-2469156,2026-01-18,TrouleT sl,1,"STARWAX - Desatascador Especial Cabellos - Disuelve cabellos, pelos y uñas - Curativo y preventivo -",B09TX3S27Q,1,9.9,21,2.08,11.98,Limpieza,9.9,2.08,11.98,yes,pdfs/20260119_Tax Invoice_408-3188830-2469156.pdf
408-5410940-2961109,2026-01-18,Santiago Sancho Gonzalez,1,"STARWAX - Desatascador Especial Cabellos - Disuelve cabellos, pelos y uñas - Curativo y preventivo -",B09TX3S27Q,2,11.94,0,0,28.78,Limpieza,23.88,0,28.78,no,
171-0864699-9143506,2026-01-18,"PETKIT Network Technology (Shanghai) Co., Ltd",1,"PETKIT Eliminador de Olores para Arenero Gatos Autolimpiable Pura MAX 2 y PUROBOT MAX PRO 2, Control",B0D86BT8K1,2,23.55,0,0,47.1,Mascotas,47.1,0,47.1,yes,pdfs/20260118_Tax Invoice_171-0864699-9143506.pdf
171-9667617-1953910,2026-01-18,Amazon EU,1,"Dodot Toallitas Pure Aqua Para Bebé,1152 Toallitas (24 Packs de 48 Unidades),Ayuda A Restaurar El PH",B0DP7K72L5,2,49.58,21,18.74,107.98,Alimentación,198.32,37.48,215.96,yes,pdfs/20260118_Tax Invoice_171-9667617-1953910.pdf
171-9667617-1953910,2026-01-18,Amazon EU,2,"Dodot Toallitas Pure Aqua Para Bebé,1152 Toallitas (24 Packs de 48 Unidades),Ayuda A Restaurar El PH",B0DP7K72L5,2,49.58,21,18.74,107.98,Alimentación,198.32,37.48,215.96,yes,pdfs/20260118_Tax Invoice_171-9667617-1953910.pdf
171-3188489-4665124,2026-01-18,Amazon EU,1,Blevit Barriguitas Felices | 150g | Infusión digestiva en polvo con Manzanilla e Hinojo,B09PC5BD61,4,8.85,10,3.56,38.96,Bebés,97.35,9.79,107.14,yes,pdfs/20260118_Tax Invoice_171-3188489-4665124.pdf
171-3188489-4665124,2026-01-18,Amazon EU,2,"Blevit Noches Felices | 150g | Infusión relajante en polvo con Tila, Melisa y Manzanilla",B09PC42TCR,7,8.85,10,6.23,68.18,Alimentación,97.35,9.79,107.14,yes,pdfs/20260118_Tax Invoice_171-3188489-4665124.pdf
408-0648656-8344330,2026-01-17,Freddy S.p.a.,1,"FREDDY - Jeggings Push-up Wr.up® Superskinny De Cintura Alta Con Cremallera, Jeans Borrar-Costuras A",B0BJZHPF19,0,0,0,0,0,Deportes,0,0,0,no,
408-0436444-7373149,2026-01-17,shenzhenshiniujinzhuangmaoyiyouxiangongsi,1,"VOENXE Tangas Bragas Mujer Sin Costuras,Talle Bajo V-Waist Women Braguitas Lencería,Sexy Underwear,M",B0CXPVDRQS,1,11.98,0,0,11.98,Alimentación,11.98,0,11.98,yes,pdfs/20260117_Tax Invoice_408-0436444-7373149.pdf
408-7081178-0685105,2026-01-17,"Yiwu Pengdi Trading Co.,LTD",1,MK MATT KEELY Zapatillas de Estar por Casa para Niños Niñas Calcetines de Invierno Bebé Pantuflas An,B0DJNGZWH4,1,16.52,0,0,16.52,Ropa/Calzado,54.85,2.18,57.03,yes,pdfs/20260117_Tax Invoice_408-7081178-0685105.pdf
408-7081178-0685105,2026-01-17,"Yiwu Pengdi Trading Co.,LTD",2,"Solgar SELENIO 200 mcg. (Sin Levadura), (100) COMPIRMIDOS",B0011FT69O,1,21.81,10,2.18,23.99,Salud,54.85,2.18,57.03,yes,pdfs/20260117_Tax Invoice_408-7081178-0685105.pdf
408-7081178-0685105,2026-01-17,"Yiwu Pengdi Trading Co.,LTD",3,MK MATT KEELY Zapatillas de Estar por Casa para Niños Niñas Calcetines de Invierno Bebé Pantuflas An,B0DJNHG6JC,1,16.52,0,0,16.52,Ropa/Calzado,54.85,2.18,57.03,yes,pdfs/20260117_Tax Invoice_408-7081178-0685105.pdf
408-5433225-7137930,2026-01-17,"Wuhan Jingzhi Technology Co., Ltd.",1,"BIODANCE Máscara Real Deep de Bio-Colágeno, Máscara de Hidrogel, Minimización de Poros, Mejora de la",B0B2RM68G2,2,13.51,0,0,27.02,Otros,43,0,43,yes,pdfs/20260117_Tax Invoice_408-5433225-7137930.pdf
408-5433225-7137930,2026-01-17,"Wuhan Jingzhi Technology Co., Ltd.",2,"Máscara Lifting Facial Reutilizable, MáScaras Faciales En V, Papada Reductor Mujer, Para Papada Y Pi",B0GF1TDZD2,1,6.99,0,0,6.99,Deportes,43,0,43,yes,pdfs/20260117_Tax Invoice_408-5433225-7137930.pdf
408-5433225-7137930,2026-01-17,"Wuhan Jingzhi Technology Co., Ltd.",3,"Correa Facial V Line Ajustable con Diseño Ergonómico y Transpirable, Banda Reutilizable para Reducci",B0G13G6NTW,1,8.99,0,0,8.99,Mascotas,43,0,43,yes,pdfs/20260117_Tax Invoice_408-5433225-7137930.pdf
408-3432203-3113133,2026-01-09,Amazon EU,1,"Nestlé NAN OPTIPRO 3 Leche de crecimiento en polvo, 3x800g",B08HK55KV8,8,40.77,10,32.64,358.8,Alimentación,652.32,65.28,717.6,yes,pdfs/20260110_Tax Invoice_408-3432203-3113133.pdf
408-3432203-3113133,2026-01-09,Amazon EU,2,"Nestlé NAN OPTIPRO 3 Leche de crecimiento en polvo, 3x800g",B08HK55KV8,8,40.77,10,32.64,358.8,Alimentación,652.32,65.28,717.6,yes,pdfs/20260110_Tax Invoice_408-3432203-3113133.pdf
403-3281763-6151556,2026-01-09,NAKOSITE-USA LIMITED,1,"Nakosite PET2433 El Mejor Collar Anti-Ladridos, Collar Frena Ladridos. Ajustable para Perros pequeño",B0745WCDQS,1,18.99,0,0,18.99,Alimentación,18.99,0,18.99,no,
403-3614314-6059526,2026-01-09,YANGUI LIMITED,1,"Collar antiladridos para Perros - 3 Modos Sonido/Vibración/Sonido+Vibración, 7 Niveles de sensibilid",B0GC5JDV2C,1,23.99,0,0,23.99,Cocina,23.99,0,23.99,no,
171-0889026-8933166,2026-01-08,Spanish Aosom S.L,1,"PawHut Barrera de Seguridad para Perros Extensible 74-147,5 cm, para Puertas y Escaleras, Barrera pa",B0CL8Z88YB,1,37.6,21,7.89,45.49,Mascotas,37.6,7.89,45.49,yes,pdfs/20260108_Tax Invoice_171-0889026-8933166.pdf
408-3718500-4017131,2026-01-08,Ning Bo Tuo Bei Chuang Yi Ke Ji You Xian Gong Si,1,"OOOK Mesa infantil con 2 sillas, juego de sillas de madera maciza, grupo de asientos para niños a pa",B0FGDN6X3P,2,92.43,0,0,184.86,Bebés,184.86,0,184.86,yes,pdfs/20260110_Tax Invoice_408-3718500-4017131.pdf
408-1425651-5112330,2026-01-07,"Space Create Co.,Ltd",1,Ácido Hialurónico Bebible - Primabiotic Hyaluron 250 mg | 60 Botellitas de 30 ml (900 ml) | Compleme,B0FJSF1Y3P,1,123.8,0,0,123.8,Bebidas,155.72,0,155.72,yes,pdfs/20260108_Tax Invoice_408-1425651-5112330.pdf
408-1425651-5112330,2026-01-07,"Space Create Co.,Ltd",2,Lebel Cosmetics IAU Essence Forti - 100ml by IAU,B007ODMVW6,1,31.92,0,0,31.92,Belleza,155.72,0,155.72,yes,pdfs/20260108_Tax Invoice_408-1425651-5112330.pdf
408-3298377-7334730,2026-01-07,GFY LOGISTIC SL,1,Perlana Renew Lana y Delicados Cuidado de las Fibras Detergente Líquido para Lavadora y a Mano - 3 B,B0B3RNQC6R,2,23.4,10,4.68,51.48,Alimentación,46.8,4.68,51.48,yes,pdfs/20260108_Tax Invoice_408-3298377-7334730.pdf
408-4112029-2548361,2026-01-07,MAGLIFICIO ANGORELLE SRL,1,"DALLE PIANE CASHMERE - Cuello de tortuga 100% cachemira, fabricado en Italia - Mujer, Negro , XXX-La",B093L4WFKX,1,104.99,0,0,104.99,Ropa/Calzado,104.99,0,104.99,no,
408-7836540-0174704,2026-01-07,BEST PRICES GLOBAL SL,1,"Perlan Cuidado 3D Detergente para Lana y Ropa Delicada, 750ml",B00UCC1NM0,4,7.63,21,6.4,36.92,Ropa/Calzado,30.52,6.4,36.92,yes,pdfs/20260108_Tax Invoice_408-7836540-0174704.pdf
408-8677879-1071558,2026-01-07,"Flopp Proclean, S.L.",1,DETERG. LIQ. PREND. DELIC 750ml ECOVER,B08CY7XDKW,3,7.73,21,4.86,28.05,Otros,40.14,8.42,48.56,yes,pdfs/20260107_Tax Invoice_408-8677879-1071558.pdf
408-8677879-1071558,2026-01-07,"Flopp Proclean, S.L.",2,Flopp - Cápsulas Lavavajillas Ecológico | 110 Cápsulas con Envase Biodegradable | Etiqueta EU Ecolab,B01IVN83GA,1,16.95,21,3.56,20.51,Oficina,40.14,8.42,48.56,yes,pdfs/20260107_Tax Invoice_408-8677879-1071558.pdf
171-4318068-1572364,2026-01-04,Amazon EU,1,Sebamed Baby Toallitas Oleosas - Limpieza suave y eficiente y protección higiénica frente a la irrit,B009M4MBXY,12,7.02,21,17.64,101.88,Alimentación,84.24,17.64,101.88,yes,pdfs/20260104_Tax Invoice_171-4318068-1572364.pdf
171-9246890-3167516,2026-01-04,jiujiangshisuoermanmaoyiyouxiangongsi,1,"Home Espejo de Cuerpo Entero, Espejo Grande de Pie con Marco de Aleación de Aluminio, 165 x 60 cm, P",B0DQNKBXJL,1,89.99,0,0,89.99,Hogar,89.99,0,89.99,no,
171-0678485-3889116,2026-01-03,MAGLIFICIO ANGORELLE SRL,1,"DALLE PIANE CASHMERE - Estola 100% cachemira - Made in Italy - Mujer, camel, Talla única",B084C4WYQP,1,109.99,0,0,109.99,Ropa/Calzado,109.99,0,109.99,yes,pdfs/171-0678485-3889116.pdf
171-9063289-1110733,2026-01-03,MAGLIFICIO ANGORELLE SRL,1,Dalle Piane Cashmere - Estola 100% cachemira - Mujer - Taglia unica - negro,B0133G4XVO,1,109.99,0,0,109.99,Ropa/Calzado,109.99,0,109.99,yes,pdfs/171-9063289-1110733.pdf
171-0028866-5397119,2026-01-01,ChengDuShengShengXuShangMaoYouXianGongSi,1,"12V 1A Cargador Coche Electrico Cargador Bateria DC 5,5 * 2,1mm para NiñosTractor Electrico Niños pa",B0F8VGFMZN,1,9.99,0,0,9.99,Bebés,9.99,0,9.99,yes,pdfs/171-0028866-5397119.pdf
408-7662995-9820312,2025-12-31,"PETKIT Network Technology (Shanghai) Co., Ltd",1,"PETKIT Pura MAX 2 Arenero Gatos Autolimpiable, Inodoro para Gato, Arenero Autolimpiable para Gatos, ",B0D9QGW2M6,1,495.04,0,0,495.04,Hogar,495.04,0,495.04,yes,pdfs/20260105_Tax Invoice_408-7662995-9820312.pdf
171-0896452-7034748,2025-12-30,shenzhenshidoubaokejiyouxiangongsi,1,Dr. Pen Ultima M8S Microneedling Pen: Pluma de Microneedling Inalámbrica - 12 Cartuchos de Repuesto,B0CSD4L1V4,1,70.65,0,0,70.65,Tecnología,70.65,0,70.65,yes,pdfs/20251231_Tax Invoice_171-0896452-7034748.pdf
171-6094560-8591530,2025-12-29,Shanghai Qingyun Trading Company Limited,1,"Domueay Leggings Invierno Térmico para Niñas, Algodón Calentitos Mallas con Forro Polar, Suaves Cáli",B0FJFSXMHD,1,12.28,0,0,12.28,Bebés,161.82,0,161.82,yes,pdfs/20251229_Tax Invoice_171-6094560-8591530.pdf
